invention,year,inventor,category,category2,earliest_plausible,earliest_straightforward,actual_location,possible_locations,geographic_flag,geographic_note,confidence
Defibrilator,1939,Naum Gurvich,Electrical,,1902–1910,1910–1920,"Moscow, USSR",Germany; United Kingdom; France; United States,MISMATCH,"MISMATCH. The binding prerequisites (Prevost-Batelli 1899, Einthoven ECG 1903) were available in Western European and American research centers by 1905; the actual invention occurred in the USSR in 1939.",High
Plutonium isolation,1940,"Glenn T. Seaborg, Arthur Wahl & Joseph Kennedy",Chemical,,1938–1940,1939–1941,"Berkeley, California, USA","USA (Berkeley, Chicago); UK (Cavendish); Germany (Kaiser Wilhelm Institute); France (Paris)",ALIGNED,ALIGNED. Berkeley had the most advanced cyclotron infrastructure; other plausible sites had comparable nuclear physics programs.,Medium
Cavity Magnetron,1940,John Randall & Harry Boot,Electrical,,1922–1926,1926–1930,"Birmingham, England",USA; Germany; UK,ALIGNED,"ALIGNED. UK, USA, and Germany all had comparable vacuum tube and precision machining capability in the mid-1920s.",Medium
PET Fiber,1941,John R. Whinfield & James T. Dickson,Chemical,,1936–1938,1938–1941,"England (Accrington, ICI)",United Kingdom; United States; Germany,ALIGNED,"ALIGNED. England, the USA, and Germany were all leading centers of industrial polymer chemistry in the late 1930s.",High
V-2 (A-4) long-range ballistic missile,1942,Wernher von Braun with the Peenemünde Army Research Center,Mechanical,,1933–1938,1938–1945,"Peenemünde, Germany",Germany; United States; Soviet Union; United Kingdom,ALIGNED,ALIGNED. Germany led due to institutional funding and coordination; US (Goddard) and Soviet Union (GIRD) had credible parallel programs.,Medium
Influenza vaccine,1944,Thomas Francis Jr. & Jonas Salk,,,1936–1938,1938–1940,"Ann Arbor, Michigan, USA","United Kingdom (MRC); USA (Rockefeller Institute, U Michigan); Australia (Walter and Eliza Hall Institute)",ALIGNED,"ALIGNED. The USA was among best-positioned locations given strong institutional infrastructure, wartime funding, and access to Burnet's egg-culture methodology.",High
Atomic bomb,1945,Manhattan Project team,Chemical,,Flag,Flag,"Los Alamos, New Mexico, USA",Flag,Flag,Flag,Flag
Microwave oven,1945,Percy Spencer,Electrical,,1941–1943,1943–1946,"Cambridge, Massachusetts, USA",United Kingdom; United States; Germany,ALIGNED,ALIGNED. The cavity magnetron was developed in the UK (1940) and shared with the US via the Tizard Mission; both nations had the technical infrastructure and wartime radar programs to support directed microwave-heating research by 1941–1943.,Medium
Radiocarbon dating,1946,Willard Libby,Other,,1943–1946,1946–1950,"Chicago, Illinois, USA",USA; UK; Canada,ALIGNED,"ALIGNED. The combination of cyclotron infrastructure, Manhattan Project-era isotope research, and concentrated nuclear physics expertise made the USA — and specifically wartime/postwar Chicago — the near-exclusive plausible site at this date.",Medium
Ejector seat,1946,James Marti,Mechanical,,1918–1922,1935–1940,England,United Kingdom; Germany; France; United States,ALIGNED,ALIGNED. The UK was a leading aviation and ordnance engineering nation; Martin-Baker's eventual solution drew on precisely the industrial and military expertise concentrated there and in peer nations.,Medium
Holography,1947,Dennis Gabor,Other,,1895–1905,1910–1920,"Rugby, England (British Thomson-Houston)",Germany; France; United Kingdom,ALIGNED,"ALIGNED. United Kingdom is among the listed plausible locations, though the leading centers for precision optics and wave optics theory in 1895–1905 were Germany (Zeiss/Abbe) and France (Lippmann's Paris lab); Germany or France would have been the most probable independent discovery sites, but England remains a plausible location.",Medium
Hydraulic fracturing,1947,"Floyd Farris & J. B. Clark, Stanolind",,,1895–1905,1910–1920,"Kansas, USA (Hugoton gas field)","USA (Pennsylvania, Ohio, West Virginia oil regions); Romania; Russia (Baku region)",ALIGNED,"ALIGNED. The invention emerged in the USA, which by the 1890s–1900s had the world's most developed petroleum industry, the highest concentration of well-drilling expertise, and mature high-pressure pump technology — precisely the conditions required for earliest plausible development.",Medium
Transistor,1947,John Bardeen & Walter Brattain; theory by William Shockley,Electronic,,1944–1946,1946–1948,"Murray Hill, New Jersey, USA (Bell Labs)",USA; UK; Germany,ALIGNED,"ALIGNED. The actual invention occurred at Bell Labs, USA, which had the deepest concentration of semiconductor expertise, WWII radar germanium purification infrastructure, and institutional support for solid-state research; UK and Germany also had sufficient radar-driven germanium work and band theory knowledge to be plausible alternate sites.",Medium
Atomic clock,1948,Harold Lyons (National Bureau of Standards),Electronic,,1946–1947,1949–1952,"Washington, D.C., USA","USA (NBS, MIT Rad Lab, Columbia University); UK (NPL, Cavendish Laboratory); USSR (academic physics centers)",ALIGNED,"ALIGNED. The actual inventor worked at the U.S. National Bureau of Standards, which sits squarely within the cluster of institutions where all binding prerequisites were concentrated.",Medium
Basic oxygen steelmaking (BOF / LD process),1948,"Robert Durrer; commercialized by VOEST (Linz, Austria)",Chemical,,1928–1932,1935–1940,"Switzerland / Austria (Linz, Donawitz)",Germany; United Kingdom; United States; France; Belgium; Austria; Sweden,ALIGNED,ALIGNED. Austria is among the leading steel-producing nations with deep metallurgical research infrastructure. The actual commercialization site (Linz/Donawitz) is consistent with the possible-locations list.,Medium
Bertie the Brain (interactive electronic game),1950,Josef Kates (Canadian National Exhibition),Electrical,,1845–1855,1905–1920,"Toronto, Ontario, Canada","United Kingdom (London, Birmingham); France (Paris); USA (Boston, New York, Philadelphia); Prussia/German states (Berlin, Hamburg)",MISMATCH,"MISMATCH. At the earliest plausible date (~1845–1855), the prerequisite relay manufacturing and electrical instrument-making ecosystem was concentrated in the UK, northeastern USA, France, and the German states. Canada had a nascent telegraph network by 1847 but lacked the dense layer of relay manufacturers and electrical workshop infrastructure needed to pursue this project independently.",Medium
Tokamak fusion reactor concept,1950,Igor Tamm & Andrei Sakharov,Other,,1944–1948,1948–1953,"Moscow, USSR","USSR (Moscow — Kurchatov Institute, FIAN); USA (Princeton, Los Alamos, Berkeley); United Kingdom (Harwell, AERE); Sweden (Royal Institute of Technology — Alfvén's group)",ALIGNED,"ALIGNED. The USSR was among the very small set of locations capable of this synthesis at the earliest plausible date, requiring simultaneous access to thermonuclear cross-section knowledge, Alfvén's MHD framework, and a motivated institutional program. Only national nuclear-weapons programs (USSR, USA, UK) and Alfvén's Swedish group had the necessary combination.",Medium
Float glass process,1952,Alastair Pilkington (Pilkington Brothers),Chemical,,1918–1925,1930–1945,"St Helens, Lancashire, UK","UK (St Helens/Lancashire glass district); Germany (Rhineland glass and chemical industry); Belgium (Charleroi/Liège glass region); France (Saint-Gobain); USA (Toledo, Ohio; Pittsburgh, Pennsylvania)",ALIGNED,"ALIGNED. UK (St Helens/Lancashire glass district) appears in the possible-locations list and was indeed a leading candidate. The process could equally have emerged from Germany, Belgium, France, or US glass districts, all with equivalent glass-furnace technology, industrial gas supply, and access to refined tin by the 1920s.",Medium
Thermonuclear weapon (hydrogen bomb),1952,Edward Teller & Stanislaw Ulam,Chemical,,Flag,Flag,Eniwetok Atoll / USA,Flag,Flag,Flag,Flag
Helical scan video tape recorder (VTR),1953,Norikazu Sawazaki (Toshiba); Eduard Schüller (AEG),Electronic,,1947–1950,1950–1955,"Tokyo, Japan (Toshiba) / AEG, Germany","USA (RCA Princeton labs, Ampex Redwood City, Bell Labs); UK (BBC Research Department, Marconi); Germany (AEG, BASF); Japan (Toshiba, NHK technical laboratories)",ALIGNED,"ALIGNED. Japan (Toshiba, NHK technical laboratories) and Germany (AEG, BASF) both appear in the possible-locations list. The co-invention in Japan and Germany reflects specific institutional choices; the USA had the deepest concentration of relevant wideband electronics expertise but did not pursue it commercially at that time.",Medium
Silicon solar photovoltaic cell,1954,"Calvin Fuller, Daryl Chapin & Gerald Pearson (Bell Labs)",Electronic,,1951–1953,1953–1956,"Murray Hill, New Jersey, USA","USA (Bell Labs or comparable industrial research lab); UK (GEC, TRE); Germany (Siemens research); USSR (academic semiconductor groups)",ALIGNED,"ALIGNED. The USA had the densest concentration of semiconductor expertise post-WWII, and Bell Labs in particular had the transistor program infrastructure that made this convergence near-inevitable.",High
Hovercraft (air-cushion vehicle),1955,Christopher Cockerell,Mechanical,,1870–1880,1890–1900,"Somerleyton, Suffolk, England",United Kingdom; United States; France; Germany; Belgium,ALIGNED,"ALIGNED. England is within the UK, which appears in the possible-locations list.",Medium
Intermodal shipping container,1956,Malcolm McLean (Pan-Atlantic Steamship),Mechanical,,1830–1845,1890–1910,"Newark, New Jersey, USA","United Kingdom (Liverpool, London, Glasgow); Belgium (Antwerp); United States (New York, Baltimore, Boston)",ALIGNED,"ALIGNED. United States appears in the possible-locations list. The earliest plausible window (1830–1845) most favored British and Belgian port cities, but the actual location in the USA is ALIGNED since USA appears in the list.",Medium
Hard disk drive (random-access magnetic disk storage),1956,Reynold B. Johnson and team (IBM San Jose),Electronic,,1952–1954,1954–1956,"San Jose, California, USA","USA (San Jose, Boston/MIT area, Bell Labs NJ); UK (National Physical Laboratory, Ferranti Manchester); Germany (Telefunken Berlin)",ALIGNED,ALIGNED. IBM San Jose is within the identified cluster of plausible locations.,Medium
Logic Theorist (first AI program / automated theorem prover),1956,"Allen Newell, Herbert Simon & Cliff Shaw (Carnegie Mellon / RAND)",Electronic,,1952–1954,1954–1956,"Pittsburgh, PA / Santa Monica, CA, USA","USA (Princeton IAS, MIT, RAND, Bell Labs); UK (University of Manchester, Cambridge)",ALIGNED,"ALIGNED. The actual location (CMU/RAND, USA) is within the plausible set.",Medium
Laser / optical amplifier concept (theoretical proposal),1958,Gordon Gould; Arthur Schawlow & Charles Townes (Columbia/Bell Labs),Other,,1930–1935,1940–1950,"New York, USA (Columbia University)","Germany (Berlin, Munich, Jena optics and physics institutes); USA (Columbia, MIT, Bell Labs); USSR (Moscow/Leningrad — Ioffe Institute, Vavilov fluorescence group); UK (Cambridge Cavendish Laboratory); France (Paris — optical tradition)",ALIGNED,"ALIGNED. USA (Columbia, MIT, Bell Labs) appears in the possible-locations list, and the actual location (Columbia University, New York) is explicitly named. Germany was arguably the best-positioned location in 1930–1935, but the actual origin in the USA is ALIGNED per the rubric.",Medium
IBM 610 Auto-Point Computer (early personal computer),1957,"IBM Research, Endicott, New York (John W. Lentz, designer)",Electronic,,1948–1950,1951–1953,"Endicott, New York, USA","USA (MIT, Bell Labs, RCA, IBM); UK (Cambridge, Manchester, NPL); France (Paris — Bull/CNRS); Germany (Göttingen — limited postwar); Sweden (KTH Stockholm)",ALIGNED,"ALIGNED. Endicott, NY is within the US industrial-academic complex that dominates the earliest plausible list.",Medium
Sputnik artificial satellite,1957,USSR (Korolev and team / OKB-1),Other,,1948–1952,1952–1955,"Baikonur, USSR (Kazakh SSR)","USSR (Moscow — OKB-1/Korolev, Kapustin Yar test site); USA (Huntsville AL — Redstone Arsenal/von Braun team, White Sands NM); UK (Royal Aircraft Establishment Farnborough); Germany (reconstituted Peenemünde team)",ALIGNED,ALIGNED. The USSR is in the possible-locations list. Both the USSR and USA are equally strong candidates at the earliest plausible date — each had captured V-2 hardware and personnel. The Soviet program launched first due to strong state prioritization and the pre-war GIRD/Korolev rocketry tradition.,Medium
Integrated circuit,1958,Jack Kilby (Texas Instruments); Robert Noyce (Fairchild Semiconductor),Electronic,,1957–1958,1959–1961,Dallas TX (Kilby/TI); Mountain View CA (Noyce/Fairchild),USA (Bell Labs Murray Hill NJ; Texas Instruments Dallas TX; Fairchild Semiconductor Mountain View CA; RCA Princeton NJ; Motorola Phoenix AZ); UK (Standard Telephones & Cables London; Mullard/Philips); Germany (Siemens Munich; Telefunken Berlin),ALIGNED,"ALIGNED. Both actual invention sites (TI Dallas and Fairchild Mountain View) are within the USA cluster, which leads due to its dominance in transistor technology, photolithography, and diffusion doping through the late 1950s.",High
MOSFET transistor,1959,"Mohamed Atalla & Dawon Kahng (Bell Labs, Murray Hill NJ)",Electronic,,1958–1960,1959–1961,"Murray Hill, New Jersey, USA (Bell Labs)",USA (Bell Labs Murray Hill NJ; RCA Princeton NJ); Germany (Siemens Munich); Netherlands (Philips Eindhoven),ALIGNED,"ALIGNED. Murray Hill NJ (Bell Labs) appears in the possible-locations list. Bell Labs was the uniquely positioned institution holding thermal SiO2 expertise, silicon crystal growth, photolithography, JFET theory, and surface physics knowledge simultaneously.",High
First working laser (pulsed ruby laser),1960,"Theodore Maiman (Hughes Research Laboratories, Malibu CA)",Electronic,,1956–1958,1959–1961,"Malibu, California, USA (Hughes Research Laboratories)",USA (Bell Labs Murray Hill NJ; Columbia University NYC; MIT Cambridge MA; Hughes Research Labs Malibu CA; Westinghouse); USSR (Lebedev Physical Institute Moscow); UK (NPL Teddington; Clarendon Laboratory Oxford); Germany (university physics labs),ALIGNED,"ALIGNED. The USA (Hughes Research Labs, Malibu CA) is in the possible-locations list. The USA had the densest concentration of relevant capabilities: Bell Labs (maser tradition, mirror coatings), Columbia (Townes' maser group), and Linde/Union Carbide (synthetic ruby supply).",Medium
Electronic cigarette (e-cigarette),1963,"Herbert A. Gilbert (Beaver Falls, Pennsylvania, USA)",Electrical,,1900–1910,1920–1930,"Beaver Falls, Pennsylvania, USA","United Kingdom (London, Birmingham — electrical instrument trade); Germany (Berlin, Munich — precision engineering); United States (New York, New Jersey, Massachusetts — electrical manufacturing); France (Paris — instrument trade)",ALIGNED,ALIGNED. The United States appears in the possible-locations list. The 1963 actual date represents a ~40-year demand gap from earliest plausible; no technical barrier existed beyond the demand for such a device.,High
Shinkansen high-speed rail system,1964,Japanese National Railways (JNR); chief engineer Hideo Shima; champion Shinji Sogō,Mechanical,,Flag,Flag,Japan (Tokyo–Osaka corridor),Flag,Flag,"Flag. Category (c): fundamentally social/organizational. The Shinkansen is a 515 km national public transport infrastructure system requiring national-scale land acquisition, World Bank financing, legislative authorization, and operational machinery that no small workshop team can provide. Individual component technologies (EMU trains, welded rail, ATC) were mature by the 1940s–1950s; the binding constraint is organizational and political, not technical.",Flag
"Kevlar (poly-paraphenylene terephthalamide, PPD-T)",1965,"Stephanie Kwolek (DuPont Experimental Station, Wilmington DE)",Chemical,,1957–1962,1962–1966,"Wilmington, Delaware, USA (DuPont Experimental Station)","USA (DuPont Wilmington DE; Celanese; Monsanto; 3M); Germany (BASF, Bayer, Hoechst — IG Farben successor firms); UK (ICI, Courtaulds); Switzerland (Ciba)",ALIGNED,"ALIGNED. The USA (DuPont Wilmington DE) is in the possible-locations list. DuPont's unique combination of nylon/polyamide expertise, a systematic fiber research program, and Kwolek's expertise in low-temperature solution polymerization made it a natural leader, but German and UK chemical giants were plausible alternatives.",Medium
Packet-switched networking,1969,Paul Baran (RAND Corp); Donald Davies (NPL UK); BBN Technologies (ARPANET implementation),Electronic,,1955–1962,1960–1965,USA (RAND Corp Santa Monica CA; BBN Cambridge MA); independently UK (NPL Teddington),"USA (Bell Labs Murray Hill NJ; MIT Cambridge MA; IBM research; RAND Santa Monica CA; military computing centers); UK (NPL Teddington; University of Manchester; Cambridge); USSR (computing institutes Moscow/Leningrad); France (Institut Blaise Pascal Paris); West Germany (Munich, Göttingen academic computing, post-1955)",ALIGNED,ALIGNED. Both actual invention sites (USA and UK) are the top-tier locations in the possible-locations list. The USA led the ARPANET implementation due to its large installed base of research computers and defense funding; the UK's NPL was a co-equal intellectual birthplace of the concept.,Medium
